"co_code","bsecode","nsesymbol","companyname","companyshortname","categoryname","isin","bsegroup","mcap","mcaptype","displaytype","sectorcode","sectorname","industrycode","industryname","bselistedflag","nselistedflag","BSEStatus","NSEStatus"
"94286","94286","ANONDITA","Anondita Medicare Ltd","Anondita Medi.","Company","INE0VTV01012","undefined","1907.41","Small Cap","MAN","00000039","Healthcare","00000081","Contraceptives / Protectives","N","Y","Not Listed","Active"
"94484","94484","ARCIIL","ARC Insulation & Insulators Ltd","ARC Insulation","Company","INE0YDV01010","undefined","36.56","Small Cap","MAN","00000048","Plastic products","00000241","Plastics - Others","N","Y","Not Listed","Active"
"12611","532370","RAMCOSYS","Ramco Systems Ltd","Ramco Systems","Company","INE246B01019","B","2040.56","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","Y","Active","Active"
"13105","532466","OFSS","Oracle Financial Services Software Ltd","Oracle Fin.Serv.","Company","INE881D01027","A","101800.18","Mid Cap","SOFTWARE","00000034","IT - Software","00000072","Computers - Software - Large","Y","Y","Active","Active"
"13212","533274","PRESTIGE","Prestige Estates Projects Ltd","Prestige Estates","Company","INE811K01011","A","70230.56","Mid Cap","MAN","00000051","Realty","00000078","Construction - Housing - Large","Y","Y","Active","Active"
"13673","531439","GOLDTECH","Aion-Tech Solutions Ltd","Aion-Tech Soluti","Company","INE805A01014","T","261.78","Small Cap","SOFTWARE","00000034","IT - Software","00000073","Computers - Software - Medium / Small","Y","Y","Active","Active"
"13841","531695","undefined","Veronica Production Ltd","Veronica Product","Company","INE008M01044","Z","2.28","Small Cap","MAN","00000064","Trading","00000317","Trading - Medium / Small","Y","N","Suspended","Not Listed"
"13870","531460","undefined","Continental Controls Ltd","Cont. Controls","Company","INE545B01022","XT","9.22","Small Cap","MAN","00000039","Capital Goods - Electrical Equipment","00000329","Miscellaneous - Medium / Small","Y","N","Active","Not Listed"
"14132","531846","undefined","Trinity League India Ltd","Trinity League","Company","INE884X01011","X","7.6","Small Cap","FIN","00000026","Finance","00000143","Finance - Investment / Others","Y","N","Active","Not Listed"
"15035","532015","undefined","Gravity (India) Ltd","Gravity (India)","Company","INE995A01013","X","97.44","Small Cap","MAN","00000062","Textiles","00000317","Trading - Medium / Small","Y","N","Active","Not Listed"
"15362","541403","DOLLAR","Dollar Industries Ltd","Dollar Industrie","Company","INE325C01035","B","1553.45","Small Cap","MAN","00000050","Readymade Garments/ Apparells","00000314","Textiles - Readymade Apparel","Y","Y","Active","Active"
